Designator,Mid X,Mid Y,Rotation,Layer
J1,171.279428,-49.48,0.0,top
J101,211.279428,-129.28,0.0,bottom
J102,191.779428,-129.28,0.0,bottom
J103,182.279428,-108.98,90.0,bottom
J104,182.279428,-88.98,90.0,bottom
J105,151.529428,-137.48,0.0,bottom
J106,132.029428,-137.48,0.0,bottom
J107,121.479428,-117.48,90.0,bottom
J108,121.479428,-96.98,90.0,bottom
J11,227.199428,-115.64,90.0,bottom
J2,221.279428,-96.98,0.0,top
J3,171.279428,-140.48,180.0,top
J4,121.279428,-96.48,0.0,top
J5,201.279428,-64.48,0.0,top
J6,201.279428,-123.48,180.0,top
J7,141.279428,-123.48,180.0,top
J8,141.279428,-64.48,0.0,top
J9,167.299428,-124.21,90.0,bottom
MP1,121.781953,-44.982525,0.0,bottom
MP10,227.209428,-65.06,0.0,bottom
MP2,121.781953,-143.977475,0.0,bottom
MP3,220.776903,-44.982525,0.0,bottom
MP4,220.776903,-143.977475,0.0,bottom
MP5,118.299428,-131.62,0.0,bottom
MP6,167.309428,-131.62,0.0,bottom
MP7,167.299428,-73.62,0.0,bottom
MP8,178.189428,-123.09,0.0,bottom
MP9,227.209428,-123.06,0.0,bottom
